"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part59";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"28_part59";0;"F";19
"part59";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"29_part59";0;"F";19
"part59";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"3_part59";0;"F";19
"part59";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"4_part59";0;"F";19
"part59";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"5_part59";0;"F";19
"part59";"0";"0";1;0;"cyli_c_ni_spe1t";"cyli";"spe1t";"6_part59";0;"F";19
"part59";"1";"0";1;0;"cyli_d_ni_spe1";"cyli";"spe1";"7_part59";0;"F";19
"part59";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"8_part59";0;"F";19
"part59";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"9_part59";0;"F";19
"part60";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"10_part60";0;"M";21
"part60";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"11_part60";0;"M";21
"part60";"0";"0";1;0;"cyli_c_ni_spe1t";"cyli";"spe1t";"13_part60";0;"M";21
"part60";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"14_part60";0;"M";21
"part60";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"15_part60";0;"M";21
"part60";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"16_part60";0;"M";21
"part60";"0";"1";0;0;"cube_c_i_rec";"cube";"rec";"17_part60";0;"M";21
"part60";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"19_part60";0;"M";21
"part60";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"1_part60";0;"M";21
"part60";"0";"1";0;0;"cone_c_i_tr";"cone";"tr";"20_part60";0;"M";21
"part60";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"21_part60";0;"M";21
"part60";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"22_part60";0;"M";21
"part60";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"23_part60";0;"M";21
"part60";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"25_part60";0;"M";21
"part60";"0";"1";0;0;"cyli_c_i_el";"cyli";"el";"26_part60";0;"M";21
"part60";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"27_part60";0;"M";21
"part60";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"28_part60";0;"M";21
"part60";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"29_part60";0;"M";21
"part60";"1";"0";1;0;"cyli_d_ni_spe1";"cyli";"spe1";"2_part60";0;"M";21
"part60";"0";"1";0;0;"cube_c_i_tri";"cube";"tri";"3_part60";0;"M";21
"part60";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"4_part60";0;"M";21
"part60";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"5_part60";0;"M";21
"part60";"0";"1";1;1;"cube_c_i_car";"cube";"car";"6_part60";0;"M";21
"part60";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"7_part60";0;"M";21
"part60";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"8_part60";0;"M";21
"part60";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"9_part60";0;"M";21
"part61";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"10_part61";0;"F";33
"part61";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"11_part61";0;"F";33
"part61";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"12_part61";0;"F";33
"part61";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"14_part61";0;"F";33
"part61";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"15_part61";0;"F";33
"part61";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"16_part61";0;"F";33
"part61";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"17_part61";0;"F";33
"part61";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"18_part61";0;"F";33
"part61";"0";"1";1;1;"cube_c_i_car";"cube";"car";"19_part61";0;"F";33
"part61";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"1_part61";0;"F";33
"part61";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"20_part61";0;"F";33
"part61";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"21_part61";0;"F";33
"part61";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"22_part61";0;"F";33
"part61";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"23_part61";0;"F";33
"part61";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"25_part61";0;"F";33
"part61";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"26_part61";0;"F";33
"part61";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"27_part61";0;"F";33
"part61";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"28_part61";0;"F";33
"part61";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"29_part61";0;"F";33
"part61";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"3_part61";0;"F";33
"part61";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"4_part61";0;"F";33
