"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part30";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"7_part30";0;"F";22
"part30";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"8_part30";0;"F";22
"part30";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"9_part30";0;"F";22
"part31";"1";"0";1;1;"cube_d_ni_el";"cube";"el";"10_part31";0;"M";19
"part31";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"11_part31";0;"M";19
"part31";"0";"1";0;1;"sphe_c_i_pc";"sphe";"pc";"12_part31";0;"M";19
"part31";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"13_part31";0;"M";19
"part31";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"14_part31";0;"M";19
"part31";"0";"0";1;0;"cube_c_ni_el";"cube";"el";"15_part31";0;"M";19
"part31";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"16_part31";0;"M";19
"part31";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"17_part31";0;"M";19
"part31";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"18_part31";0;"M";19
"part31";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"19_part31";0;"M";19
"part31";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"1_part31";0;"M";19
"part31";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"20_part31";0;"M";19
"part31";"1";"0";1;1;"cyli_d_ni_spl";"cyli";"spl";"22_part31";0;"M";19
"part31";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"23_part31";0;"M";19
"part31";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"24_part31";0;"M";19
"part31";"0";"1";1;0;"cube_c_i_car";"cube";"car";"25_part31";0;"M";19
"part31";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"26_part31";0;"M";19
"part31";"0";"1";1;0;"cone_c_i_tr";"cone";"tr";"27_part31";0;"M";19
"part31";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"28_part31";0;"M";19
"part31";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"29_part31";0;"M";19
"part31";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"2_part31";0;"M";19
"part31";"0";"0";1;0;"cube_c_ni_rec";"cube";"rec";"3_part31";0;"M";19
"part31";"1";"1";0;0;"cyli_d_i_c";"cyli";"c";"4_part31";0;"M";19
"part31";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"5_part31";0;"M";19
"part31";"0";"1";1;0;"cube_c_i_tri";"cube";"tri";"6_part31";0;"M";19
"part31";"1";"1";0;0;"sphe_d_i_gc";"sphe";"gc";"8_part31";0;"M";19
"part32";"1";"1";0;0;"cube_d_i_ca";"cube";"ca";"10_part32";0;"F";18
"part32";"1";"0";1;1;"cube_d_ni_el";"cube";"el";"11_part32";0;"F";18
"part32";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"12_part32";0;"F";18
"part32";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"13_part32";0;"F";18
"part32";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"15_part32";0;"F";18
"part32";"1";"0";1;1;"cyli_d_ni_spe1";"cyli";"spe1";"16_part32";0;"F";18
"part32";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"17_part32";0;"F";18
"part32";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"18_part32";0;"F";18
"part32";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"19_part32";0;"F";18
"part32";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"1_part32";0;"F";18
"part32";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"22_part32";0;"F";18
"part32";"0";"1";1;0;"cone_c_i_tr";"cone";"tr";"23_part32";0;"F";18
"part32";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"24_part32";0;"F";18
"part32";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"25_part32";0;"F";18
"part32";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"26_part32";0;"F";18
"part32";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"27_part32";0;"F";18
